time/total_timesteps,time/iterations,train/loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance
204800,100,216.4174346923828,968.2992546349764,0.046634573552000805,0.000797248,990,0.2,10759.526315789473,3935,400.0,52,0.64443359375,0.25867882,-2.368048718571663,0.7625609338283539
212992,104,31.79003143310547,255.86554899811745,0.07855170529073803,0.000789056,1030,0.2,10759.526315789473,4093,400.0,52,0.622265625,0.52685714,-1.8866937458515167,-1.0966873168945312
221184,108,1.860267162322998,5.063040257617831,-0.012414446161710658,0.000780864,1070,0.2,10759.526315789473,4250,400.0,52,0.3814453125,0.089888565,-1.4853284254670143,-2.304137706756592
229376,112,-0.08050107955932617,0.082790433219634,-0.049888252148230096,0.0007726720000000001,1110,0.2,10759.526315789473,4406,400.0,52,0.55166015625,0.0892144,-1.85676017254591,-0.33590519428253174
237568,116,0.7978962659835815,2.405533095262945,-0.026520181671367028,0.0007644800000000001,1150,0.2,11620.05,4564,410.0,52,0.503564453125,0.09702492,-2.4581806074827908,0.67345130443573
245760,120,18.589128494262695,141.26346075087787,0.021820872854004848,0.0007562879999999999,1190,0.2,11692.619047619048,4722,476.1904761904762,52,0.606884765625,0.19115171,-2.4329872712492944,-0.05650615692138672
253952,124,22.321422576904297,43.14415690004826,0.011305658605124336,0.000748096,1230,0.2,11340.318181818182,4880,463.6363636363636,52,0.333349609375,0.031532638,-2.099603081867099,0.7411618232727051
262144,128,52.2071418762207,69.85540542514063,0.04999153780809138,0.000739904,1270,0.2,11283.782608695652,5038,452.17391304347825,52,0.46806640625,0.07699176,-2.9537967406213284,0.8299630135297775
270336,132,68.7025375366211,136.11090054512024,-0.0009463506794418208,0.0007317119999999999,1310,0.2,10306.423076923076,5196,407.6923076923077,52,0.2583984375,0.089645304,-1.1768495341762901,0.5844053626060486
278528,136,0.3923201560974121,59.31978876139037,0.019083526509348303,0.00072352,1350,0.2,10252.407407407407,5354,422.22222222222223,52,0.335693359375,0.043868333,-2.2190169248729945,0.3864527940750122
286720,140,15.064656257629395,163.63046740442513,0.018272827586042695,0.000715328,1390,0.2,9801.689655172413,5512,420.6896551724138,52,0.5443359375,0.1053041,-2.0597926042973995,0.6910358965396881
294912,144,23.282917022705078,104.31867174096405,0.028707435751130106,0.000707136,1430,0.2,9646.133333333333,5671,426.6666666666667,52,0.47099609375,0.068870306,-2.389477448910475,0.24811208248138428
303104,148,1.6875196695327759,47.95004800260067,0.01725422161107417,0.0006989440000000001,1470,0.2,9184.69696969697,5828,430.3030303030303,51,0.4048828125,0.05709909,-1.9436254873871803,0.6891024708747864
311296,152,3.439999580383301,30.55037140008062,0.010470683401217684,0.0006907520000000001,1510,0.2,8639.222222222223,5986,405.55555555555554,51,0.360107421875,0.05552641,-1.7266098998486996,0.655235767364502
319488,156,0.31083834171295166,29.623605976300315,0.006919869771809317,0.00068256,1550,0.2,8187.589743589743,6144,389.7435897435897,51,0.4501953125,0.13669619,-1.9827774833887815,0.9179918169975281
327680,160,57.55378723144531,105.43943576812744,0.003925065424118657,0.0006743680000000001,1590,0.2,6822.6875,6301,316.6666666666667,52,0.079052734375,0.0068941014,-0.3893767928238958,0.3407411575317383
335872,164,6.753169059753418,134.222670173645,-0.002447937305259984,0.000666176,1630,0.2,6293.943396226415,6459,290.5660377358491,52,0.086669921875,0.022877434,-0.5547505283728242,0.150565505027771
344064,168,2.5038492679595947,74.12579502575099,0.00838501468024333,0.000657984,1670,0.2,6033.859649122807,6616,298.2456140350877,51,0.21552734375,0.19371673,-0.6823206800036132,0.10695362091064453
352256,172,8.25094985961914,24.19044285239652,0.006543660339957569,0.000649792,1710,0.2,5760.262295081967,6774,285.24590163934425,51,0.210205078125,0.101789825,-0.5512660269625484,0.634055882692337
360448,176,0.07621431350708008,1.2824309152550994,-0.035508118345751426,0.0006416,1750,0.2,5604.03125,6932,278.125,51,0.238525390625,0.15234298,-0.5475480250548571,0.7583611905574799
368640,180,27.94982147216797,22.92993053360842,0.0010215074282314163,0.000633408,1790,0.2,5625.892307692307,7090,280.0,51,0.252099609375,0.074623615,-1.2463280517607926,0.9028338566422462
376832,184,21.344173431396484,109.07156998580322,0.005968761120311683,0.000625216,1830,0.2,5691.727272727273,7248,287.8787878787879,51,0.103125,0.044335164,-0.3213144248351455,0.44685477018356323
385024,188,53.585975646972656,180.0524569630623,0.011582262156298383,0.000617024,1870,0.2,5619.588235294118,7405,285.29411764705884,51,0.29580078125,0.06745958,-0.9117042604833842,0.6301166415214539
393216,192,0.6778011918067932,27.139876418886708,0.01702245408014278,0.000608832,1910,0.2,5609.3,7563,288.57142857142856,51,0.152978515625,0.0798742,-0.5678309713490307,0.3793529272079468
401408,196,17.444185256958008,262.7872886896133,0.03571707806913764,0.00060064,1950,0.2,5544.112676056338,7721,284.50704225352115,51,0.073779296875,0.117281035,-0.10514877175737639,-0.47665369510650635
409600,200,11.138622283935547,28.410461040213704,0.03421366580878384,0.000592448,1990,0.2,5625.236111111111,7880,311.1111111111111,51,0.109619140625,0.13050294,-0.19060361383017152,0.6097429692745209
417792,204,5.617289066314697,34.983558017387985,-0.011301368437852944,0.000584256,2030,0.2,5707.232876712329,8038,323.28767123287673,51,0.06943359375,0.051222432,-0.17506417143158615,0.9254782870411873
425984,208,11.999143600463867,52.0250752478838,0.00709609680052381,0.000576064,2070,0.2,5643.44,8196,338.6666666666667,51,0.11572265625,0.04123398,-0.2806608336511999,0.7932991683483124
434176,212,615.48828125,2860.363542878628,0.02696798587239755,0.000567872,2110,0.2,5105.64705882353,8352,357.6470588235294,51,0.244873046875,0.1001351,-0.6920435788109899,0.5888237059116364
442368,216,21.704858779907227,373.46397958397864,0.017714505238836865,0.00055968,2150,0.2,4743.333333333333,8509,380.64516129032256,51,0.288525390625,0.15570907,-0.8120688326656819,0.34324514865875244
450560,220,0.4434674084186554,110.32232623919845,0.022906510907341728,0.000551488,2190,0.2,4677.697916666667,8667,385.4166666666667,51,0.179248046875,0.14166358,-0.6058878471143544,0.34778571128845215
458752,224,0.1058923602104187,3.072938377549872,0.010051396358176135,0.000543296,2230,0.2,4696.061855670103,8825,383.50515463917526,51,0.311572265625,0.06274342,-0.7251523116603493,0.8978570029139519
466944,228,-0.004402450285851955,0.0057806770329989375,-0.0001440715881471988,0.000535104,2270,0.2,4747.275510204082,8983,391.83673469387753,51,0.0,0.00017870782,-0.01358481018760358,-0.6250293254852295
475136,232,34.419410705566406,223.9663453280926,-2.2594031179323794e-08,0.000526912,2310,0.2,4787.656565656565,9141,416.16161616161617,51,0.0,0.0,-0.0001745241966091271,0.6516496539115906
483328,236,96.89513397216797,444.3897232532501,0.0453320725413505,0.0005187200000000001,2350,0.2,4627.32,9299,428.0,51,0.597900390625,0.6405835,-0.8401633011177182,0.4496970772743225
491520,240,18.73448944091797,24.562058085761965,-0.009009102725394768,0.000510528,2390,0.2,4547.69,9457,428.0,51,0.4474609375,0.1418183,-0.9982551135122776,0.7052826881408691
499712,244,16.902029037475586,29.531033557653426,-0.0051002510837861335,0.000502336,2430,0.2,4559.26,9614,430.0,51,0.332763671875,0.08841558,-1.134736518934369,-1.1084866523742676
507904,248,78.55514526367188,173.21986986398696,-0.005000119069882203,0.0004941440000000001,2470,0.2,3957.1,9771,420.0,51,0.16259765625,0.015974369,-0.6922068659216165,0.4777681827545166
516096,252,1.8181089162826538,7.6060242906212805,-0.00902969318194664,0.00048595200000000005,2510,0.2,2699.97,9928,354.0,51,0.17158203125,0.038502485,-0.7993664115667343,0.6715702414512634
524288,256,0.41464167833328247,1.5195406346581877,-0.02397607094317209,0.00047776,2550,0.2,2265.23,10085,316.0,51,0.248876953125,0.035589747,-1.1730822645127774,0.9155256301164627
532480,260,0.018550802022218704,0.09849570740188937,-0.00530649420543341,0.000469568,2590,0.2,2223.13,10242,308.0,51,0.215087890625,0.087274,-1.4057445090264082,-3.866514205932617
540672,264,0.1981579065322876,0.6912335247267037,-0.022934421614627352,0.000461376,2630,0.2,2223.13,10401,308.0,51,0.352587890625,0.038985744,-2.020393396914005,-3.0763912200927734
548864,268,-0.0041108205914497375,0.058783848689199655,-0.022202035930240525,0.00045318400000000003,2670,0.2,2223.13,10559,308.0,51,0.198974609375,0.020596817,-2.412035810947418,-0.20419275760650635
557056,272,1.99785578250885,56.293456165120006,0.012409757295245072,0.00044499200000000007,2710,0.2,2409.05,10717,312.0,51,0.151513671875,0.020589733,-1.3150734165683389,0.7380509376525879
565248,276,1.4487768411636353,17.615662196965424,-0.0068686806451296436,0.0004368,2750,0.2,2427.87,10875,310.0,51,0.191943359375,0.03710838,-0.9534887064248323,0.9555565901100636
573440,280,9.537402153015137,27.21309126240667,0.016597861097034185,0.000428608,2790,0.2,2514.37,11033,316.0,51,0.23037109375,0.04562448,-0.4953138638287783,0.8647115528583527
581632,284,2.430769920349121,17.36275806128979,-0.0031713635369669648,0.000420416,2830,0.2,2573.5,11191,318.0,51,0.22109375,0.03055748,-1.1556725870817899,0.8717686682939529
589824,288,-0.04809533432126045,0.03702504892498837,-0.0241588859949843,0.00041222400000000004,2870,0.2,2651.32,11349,324.0,51,0.147314453125,0.03728029,-0.5152636697515846,0.7874166518449783
598016,292,-0.012686558999121189,0.01943676313458127,-0.0035630299571494106,0.00040403199999999997,2910,0.2,2651.32,11507,324.0,51,0.096240234375,0.013631957,-0.3776000006124377,0.46072161197662354
606208,296,1.8340535163879395,25.825093014762388,0.018956569429428784,0.00039584,2950,0.2,2760.78,11665,332.0,51,0.215771484375,0.042267025,-0.7569891648367048,0.5115634500980377
614400,300,7286.740234375,3238.446759228408,0.12922823735862038,0.000387648,2990,0.2,2873.97,11823,352.0,51,0.344921875,1.3009144,-0.48248333455994724,0.005175948143005371
622592,304,7.799982070922852,24.725333007238806,0.005232749005881487,0.000379456,3030,0.2,2873.97,11983,352.0,51,0.06357421875,0.022744754,-0.3078851283993572,0.7307265996932983
